session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_10-40-58,0,10.165000,10,left,2.835903,0.209600,-0.417482,-0.093418,simp
dgap_26-05-05_10-40-58,0,10.165000,18,right,2.828279,0.821880,-0.244153,-0.058905,simp
dgap_26-05-05_10-40-58,0,10.205000,10,left,2.752384,0.203427,-0.454743,-0.098010,simp
dgap_26-05-05_10-40-58,0,10.205000,18,right,2.845980,0.827023,-0.207985,-0.040530,simp
dgap_26-05-05_10-40-58,0,10.245000,10,left,2.736777,0.168467,-0.486490,-0.106346,simp
dgap_26-05-05_10-40-58,0,10.245000,18,right,2.795853,0.775307,-0.196666,-0.043696,simp
dgap_26-05-05_10-40-58,0,10.285000,10,left,2.674041,0.164606,-0.521988,-0.112198,simp
dgap_26-05-05_10-40-58,0,10.285000,18,right,2.798914,0.776156,-0.183418,-0.042669,simp
dgap_26-05-05_10-40-58,0,10.320000,10,left,2.630360,0.161917,-0.556925,-0.115582,simp
dgap_26-05-05_10-40-58,0,10.320000,18,right,2.803003,0.777290,-0.168694,-0.038654,simp
dgap_26-05-05_10-40-58,0,10.365000,10,left,2.656129,0.130743,-0.578146,-0.122089,simp
dgap_26-05-05_10-40-58,0,10.365000,19,right,3.252634,1.846931,-0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,10.405000,10,left,2.628838,0.129400,-0.596862,-0.125831,simp
dgap_26-05-05_10-40-58,0,10.405000,19,right,3.258381,1.850194,0.000069,-0.000036,simp
dgap_26-05-05_10-40-58,0,10.445000,10,left,2.613790,0.128659,-0.611135,-0.126873,simp
dgap_26-05-05_10-40-58,0,10.445000,19,right,3.264215,1.853507,0.002211,0.004294,simp
dgap_26-05-05_10-40-58,0,10.485000,10,left,2.600622,0.128011,-0.620993,-0.125531,simp
dgap_26-05-05_10-40-58,0,10.485000,22,right,2.763989,0.729995,-0.000000,-0.000000,simp
dgap_26-05-05_10-40-58,0,10.525000,10,left,2.588632,0.127421,-0.626599,-0.122003,simp
dgap_26-05-05_10-40-58,0,10.525000,22,right,2.741230,0.723984,0.000001,-0.000001,simp
